time,height_m,snr,wind_speed,vertical_velocity
2025-08-02 00:00:00,100,1.05,16.25,1.15
2025-08-02 00:00:00,160,1.1,25.5,1.0
2025-08-02 00:00:00,220,0.8500000000000001,10.350000000000001,0.8
2025-08-02 00:00:00,280,0.8,5.8,0.5
2025-08-02 00:00:00,340,1.2999999999999998,17.65,0.39999999999999997
2025-08-02 00:00:00,460,1.1,19.5,0.8
2025-08-02 00:00:00,580,1.0,19.0,0.1
2025-08-02 00:00:00,820,,,1.0
2025-08-02 00:00:00,880,,,0.7
2025-08-02 00:00:00,940,0.8,15.0,0.7
2025-08-02 00:00:00,1060,1.3,15.2,0.30000000000000004
2025-08-02 00:00:00,1120,0.4,,0.4
2025-08-02 00:00:00,1180,1.2,9.8,0.1
2025-08-02 00:00:00,1300,,,0.3
2025-08-02 00:00:00,1540,,,0.1
2025-08-02 00:00:00,1600,0.7,9.0,0.1
2025-08-02 00:00:00,1660,0.4,4.1,0.2
2025-08-02 00:00:00,1720,,,0.0
2025-08-02 00:00:00,2860,,,0.0
2025-08-02 00:06:00,100,1.2,17.1,1.7
2025-08-02 00:06:00,160,0.9,11.5,1.5
2025-08-02 00:06:00,220,1.4,34.1,1.3
2025-08-02 00:06:00,280,1.2,19.6,1.2
2025-08-02 00:06:00,340,0.6,4.5,1.3
2025-08-02 00:06:00,400,,,0.9
2025-08-02 00:06:00,520,,,0.4
2025-08-02 00:06:00,580,0.44999999999999996,6.9,0.2
2025-08-02 00:06:00,640,0.5,5.7,0.2
2025-08-02 00:06:00,700,0.9,21.1,0.2
2025-08-02 00:06:00,760,0.8,10.5,0.3
2025-08-02 00:06:00,820,0.5,4.2,3.7
2025-08-02 00:06:00,880,0.5,5.3,0.4
2025-08-02 00:06:00,940,,,0.4
2025-08-02 00:06:00,1000,,,0.4
2025-08-02 00:06:00,1060,1.6,8.3,4.0
2025-08-02 00:06:00,1120,0.5,5.0,0.0
2025-08-02 00:06:00,1180,0.4,,0.0
2025-08-02 00:06:00,1240,0.7,17.6,0.0
2025-08-02 00:06:00,1300,0.7,11.2,0.25
2025-08-02 00:06:00,1540,0.8,9.3,0.15
2025-08-02 00:06:00,1660,,,0.2
2025-08-02 00:06:00,1780,,,0.0
2025-08-02 00:06:00,1900,0.7,5.9,0.2
2025-08-02 00:06:00,1960,,,0.5
2025-08-02 00:12:00,100,1.4,23.4,0.7
2025-08-02 00:12:00,160,1.5,30.3,0.6
2025-08-02 00:12:00,220,2.7,17.0,0.7
2025-08-02 00:12:00,280,1.6,11.3,0.5
2025-08-02 00:12:00,340,0.55,6.8,0.75
2025-08-02 00:12:00,400,0.6,4.8,0.7
2025-08-02 00:12:00,460,0.1,,0.9
2025-08-02 00:12:00,580,,,0.7
2025-08-02 00:12:00,700,,,0.8
2025-08-02 00:12:00,820,,,0.1
2025-08-02 00:12:00,2980,0.4,,0.3
2025-08-02 00:12:00,3100,0.5,,0.3
2025-08-02 00:18:00,100,0.95,9.7,0.5
2025-08-02 00:18:00,160,1.1,12.9,0.7
2025-08-02 00:18:00,220,0.8,6.0,0.7
2025-08-02 00:18:00,280,0.4,4.2,0.7
2025-08-02 00:18:00,340,,,0.5
2025-08-02 00:18:00,580,,,0.2
2025-08-02 00:18:00,1000,0.5,4.8,0.1
2025-08-02 00:18:00,1060,0.8,13.5,0.1
2025-08-02 00:18:00,1120,0.7,14.4,0.1
2025-08-02 00:18:00,1180,,,0.5
2025-08-02 00:18:00,1240,,,0.5
2025-08-02 00:18:00,1300,,,0.3
2025-08-02 00:18:00,1480,,,1.2
2025-08-02 00:18:00,1540,0.6,5.9,0.5
2025-08-02 00:18:00,1600,,,0.6
2025-08-02 00:18:00,1660,,,0.6
2025-08-02 00:18:00,1780,,,0.2
2025-08-02 00:18:00,2020,1.2,17.1,0.1
2025-08-02 00:24:00,100,1.2,19.3,0.2
2025-08-02 00:24:00,160,1.2,16.7,0.3
2025-08-02 00:24:00,220,0.8,7.9,0.4
2025-08-02 00:24:00,280,0.6,6.2,0.4
2025-08-02 00:24:00,340,0.4,,0.2
2025-08-02 00:24:00,820,0.8,11.5,0.1
2025-08-02 00:24:00,1060,1.6,21.3,0.13333333333333333
2025-08-02 00:24:00,1120,0.8,9.4,0.2
2025-08-02 00:24:00,1180,0.9,11.7,0.1
2025-08-02 00:24:00,1240,0.7,10.7,0.1
2025-08-02 00:24:00,1300,0.8,4.0,0.0
2025-08-02 00:24:00,1480,0.2,,0.1
2025-08-02 00:24:00,1540,0.4,,0.1
2025-08-02 00:24:00,1600,0.7,4.8,0.2
2025-08-02 00:24:00,1660,0.8,4.4,0.3
2025-08-02 00:24:00,1720,,,0.3
2025-08-02 00:24:00,1780,,,1.6
2025-08-02 00:24:00,4660,0.1,,0.7
2025-08-02 00:24:00,4900,0.2,5.9,0.7
2025-08-02 00:30:00,100,1.1666666666666667,13.566666666666668,1.4666666666666668
2025-08-02 00:30:00,160,1.6,17.7,1.0
2025-08-02 00:30:00,220,1.05,9.7,1.25
2025-08-02 00:30:00,280,1.4,13.1,1.2
2025-08-02 00:30:00,340,0.8500000000000001,7.25,1.5
2025-08-02 00:30:00,400,0.7,5.8,1.2
2025-08-02 00:30:00,460,1.2,11.6,1.15
2025-08-02 00:30:00,520,,,1.1
2025-08-02 00:30:00,580,1.45,9.05,1.6
2025-08-02 00:30:00,640,0.9,19.0,1.7
2025-08-02 00:30:00,700,1.5,10.3,0.9
2025-08-02 00:30:00,760,,,1.1
2025-08-02 00:30:00,820,1.0999999999999999,7.8,1.3
2025-08-02 00:30:00,880,1.1,14.4,0.8
2025-08-02 00:30:00,940,1.7,17.7,0.5
2025-08-02 00:30:00,1000,1.4,19.0,0.5
2025-08-02 00:30:00,1060,1.3666666666666665,12.1,0.9333333333333335
2025-08-02 00:30:00,1120,,,0.3
2025-08-02 00:30:00,1180,1.05,7.25,0.15000000000000002
2025-08-02 00:30:00,1240,,,0.2
2025-08-02 00:30:00,1300,0.4,,0.9
2025-08-02 00:30:00,1540,1.5,15.3,1.2
2025-08-02 00:30:00,1660,2.8,21.0,0.4
2025-08-02 00:30:00,1780,1.75,14.75,0.9
2025-08-02 00:30:00,1900,3.1,28.2,1.1
2025-08-02 00:30:00,1960,,,0.2
2025-08-02 00:30:00,2020,1.7666666666666666,19.966666666666665,1.0666666666666667
2025-08-02 00:30:00,2140,2.7,30.3,1.2
2025-08-02 00:30:00,2260,2.3499999999999996,29.5,0.8500000000000001
2025-08-02 00:30:00,2320,0.4,,0.3
2025-08-02 00:30:00,2380,1.4,14.1,0.5
2025-08-02 00:30:00,2440,0.5,4.2,0.3
2025-08-02 00:30:00,2500,1.4666666666666668,24.2,0.43333333333333335
2025-08-02 00:30:00,2620,1.7,18.4,0.3
2025-08-02 00:30:00,2740,1.75,21.9,0.30000000000000004
2025-08-02 00:30:00,2860,1.2,15.3,0.1
2025-08-02 00:30:00,2980,1.6,24.4,0.1
